propietario|prop_tgr_id|rut
COM E IND LOS GOBELINOS SA|E000005859|0-0
COM E INDUSTRIAL LUTZ S A|E000005860|96671150-7
INMOB ACTUAL INFANTE SA|E000005861|77428231-9
COM E INMOB CAFE HAITI ESTADO LTDA|E000005861|0-0
COM E INMOB CAFE HAITI GAL NAC LTDA|E000005862|0-0
COM E INMOB GALLARDO Y CIA LTDA|E000005863|77568050-4
COM E INV CORDOVA SIU S A|E000005865|96639740-3
COM E INV PEDRO DE VALDIVIA LIMI|E000005866|78461880-3
COM E INV TSCHREBILO Y LOBOS LIM|E000005867|0-0
INMOB ANDINA DE INV S A|E000005869|99582870-7
INMOBILIARIA ANDINA DE INV S A|E000005869|99582870-7
INMOBILIARIA ANDINA DE INVER S A|E000005869|99582870-7
INMOBILIARIA ANDINA DE INVERSIONES S A|E000005869|99582870-7
COM E INVERS SANTA ISABEL S A|E000005869|0-0
COM EDIF CAMARA CHILENA DE LA C|E000005870|0-0
COM EDIF LATADIA LTDA|E000005871|0-0
COM EDIF MANQUEHUE NORTE 1789|E000005872|0-0
COM EDIFI BROWN NORTE 76|E000005873|56017090-4
COM EDIFICIO BROWN NORTE 76|E000005873|56017090-4
COM EDIFICIO COMPANIA PLAZA DE ARMAS|E000005874|81461800-5
COM ELECTRICA LOS MORROS SA|E000005875|95177000-0
COM ELECTRONICA LTDA|E000005876|0-0
COM ELECTROSON LTDA|E000005877|76863960-4
COM F Y F LTDA|E000005878|76578490-5
COM IND ACOLCHADOS DE CHILE SA|E000005880|0-0
COM INGREDIENTES Y ADITIVOS LTDA|E000005881|76033993-8
COM INMOB Y ASESORIAS PROF S A|E000005882|0-0
COM ISRAELITA ASHKENAZI STGO|E000005883|0-0
COM LAS AGUSTINAS LTDA|E000005884|76926770-0
COM LIQUID LAS MARGARITAS LTDA|E000005886|0-0
COM MULTIMARKET SA|E000005888|0-0
COM PROD ALIMENTIC LA ESPANOLA LTDA|E000005889|0-0
COM PRODIN LTDA|E000005890|0-0
COM PUG LTDA|E000005891|76831980-4
COM REL TESTIGOS JEHOVA|E000005892|0-0
COM RELIGIOSA TESTIGOS DE JEHOVA|E000005893|81551600-1
COMUN RELIGIOSA TESTIGOS DE JEHOVA|E000005893|81551600-1
COMUNIDAD RELIGIOSA TESTIGOS DE JEHOVA|E000005893|81551600-1
COM RESTORANTE CLUB 30 SPA|E000005894|76445402-2
COM ROSELAND LTDA|E000005895|76867790-5
COM SERVICIOS REMOD SN BORJA|E000005896|0-0
COM SIS LTDA|E000005897|76765040-K
COM VEAS LOPEZ DIEGO E HIJOS LTDA|E000005898|0-0
COM Y ASESORIA CERSETEC LTDA|E000005899|86451800-1
COM Y DIST CLINIMED LTDA|E000005900|0-0
COM Y DIST DE PES MAR SA|E000005901|0-0
COMALLE SPA|E000005902|76260767-0
COMANDARI SA|E000005903|0-0
COMANDARI Y LIRA LIMITADA|E000005904|78757330-4
COMANDO BIENESTAR DEL EJERCITO|E000005905|0-0
COMANDO BIENESTAR EJERCITO|E000005906|0-0
COMANDO DE IND E ING DEL EJERCITO|E000005907|0-0
COMANDO DE INGENIEROS DE EJERCITO|E000005908|0-0
INMOB CENTRO COMERC PLAZA LO CA|E000005909|76040346-6
COMBUSTIBLE SERVICIO DE TRANSPOR|E000005909|0-0
COMBUSTIBLES MARITIMOS LTDA|E000005910|0-0
COMBUSTIBLES OLAECHEA E I R L|E000005911|0-0
COMBUSTIBLES SAN MANUEL LIMITADA|E000005912|0-0
COMCERC AUTOMOTRIZ VERGARA LTDA|E000005913|84350400-0
COMDIEL LIMITADA|E000005914|0-0
INMOB CERRO ABANICO SA|E000005915|96911360-0
COMECAN SPA|E000005916|76546118-9
COMECIAL PRABEN Y COMPANIA LIMIT|E000005917|78418370-K
COMERCIAL PRABEN Y CIA LTDA|E000005917|78418370-K
COMERCIAL PRABEN Y COMPANIA LIMI|E000005917|78418370-K
INMOB CERRO APOQUINDO DOS S A|E000005917|96895440-7
INMOBILIARIA CERRO APOQUINDO DOS S A|E000005917|96895440-7
INMOB CERRO LAGUNA LTDA|E000005918|76506003-6
INMOBILIARIA CERRO LAGUNA LIMITA|E000005918|76506003-6
COMELSA S A|E000005918|94960000-9
COMER E INDUS PECUS S A|E000005919|0-0
COMER E INVER LAS NIEVES LTDA|E000005920|77285230-4
COMERC E INVER LAS NIEVES LTDA|E000005920|77285230-4
COMER LOS PATOS S A|E000005922|0-0
COMER Y DIST FARO LTDA|E000005923|0-0
COMER Y DISTRIB FARO LIMITADA|E000005923|0-0
COMERC  JOSE VERGARA Y CIA  LTDA |E000005924|77932010-3
COMERCIAL JOSE VERGARA Y CIA LTD|E000005924|77932010-3
COMERC AUTOMOTRIZ ABROS LTDA|E000005926|89984800-4
COMERCIAL AUTOMOTRIZ ABROS LIMIT|E000005926|89984800-4
COMERCIAL AUTOMOTRIZ ABROS LIMITADA|E000005926|89984800-4
COMERCIAL AUTOMOTRIZ ABROS LTDA|E000005926|89984800-4
COMERC AUTOMOTRIZ HEZA LTDA|E000005927|0-0
COMERC DE ALIMENTOS COMERAL LTDA|E000005928|0-0
COMERC DE ART DE FERRET INST SANITARIAS|E000005929|77948760-1
COMERC DE LIBROS Y REVISTAS BARC|E000005930|0-0
COMERC E INMOB SAN JOSE LTDA|E000005932|79758570-K
COMERC E INVER VALENZUELA VIVES|E000005933|0-0
COMERC E INVER VISCONTI LTDA|E000005934|78172360-6
COMERC E INVERSIONES VALENZUELA|E000005935|0-0
COMERC ELECTRICA E INDUSTRIAL LI|E000005936|0-0
COMERC EN SEGURIDAD INDUSTRCECIL|E000005937|0-0
COMERC EXPORT E IMPORT C Y M S A|E000005938|0-0
COMERC I NVERS VERGARA Y ESPINOZA LTDA|E000005939|0-0
COMERC IMPORT EXPORT INTERNAC S A|E000005940|0-0
COMERC MAGLYN YIN TZE PANG QUIROGA|E000005941|0-0
COMERC MELIPILLA S A|E000005942|76173105-K
COMERCIAL MELIPILLA S A|E000005942|76173105-K
COMERC PARENAS LIMITADA|E000005943|0-0
COMERC SOMOS LIMITADA|E000005944|0-0
COMERC XEC LTDA|E000005945|79684460-4
COMERC ZEREGA LTDA|E000005946|0-0
COMERCI JORGE DANIEL|E000005947|0-0
COMERCIAL  INDUSTRIAL  INMOBILIA|E000005948|76077495-2
COMERCIAL  INMOBILIARIA Y RENTAS BOULEVA|E000005949|0-0
COMERCIAL  INSTALACIONES ELECTRI|E000005950|0-0
COMERCIAL  PERNERIA  FERRETERIA|E000005951|0-0
COMERCIAL  TRANSPORTES E INVERSI|E000005952|0-0
TRANSPORTES COMERCIAL E INVERSIO|E000005952|0-0
TRANSPORTES COMERCIALIZADORA E INVERSIO|E000005952|0-0
"COMERCIAL ""A Y P"" SPA"|E000005953|76885382-7
COMERCIAL 33 SOCIEDAD ANONIMA|E000005954|0-0
COMERCIAL 3OR SPA|E000005955|76187337-7
COMERCIAL 5MIL LIMITADA|E000005956|76040531-0
COMERCIAL 5UCCESSO LIMITADA|E000005957|0-0
COMERCIAL A Y B LIMITADA|E000005958|78634910-9
COMERCIAL A Y B LTDA|E000005958|78634910-9
INMOB DE LA CORDILLERA DE LA COS|E000005958|96589450-0
COMERCIAL A Y B S A|E000005959|96560900-8
COMERCIAL ABOUT WORLD SOCIEDAD A|E000005960|96937780-2
COMERCIAL ACAM LIMITADA|E000005961|78478490-8
COMERCIAL ACAM LTDA|E000005961|78478490-8
INMOB DEP STA ROSA DE HUECHURABA SA|E000005962|96842550-1
COMERCIAL ACES SPA|E000005962|77243574-6
COMERCIAL ACQUA SPORT LTDA|E000005963|78844560-1
INMOB DON ESTEBAN LTDA|E000005964|77299104-5
COMERCIAL ACR LIMITADA|E000005964|76290992-8
COMERCIAL AEC SYSTEMS LIMITADA|E000005965|0-0
INMOB DONA KENA SA|E000005966|76669790-9
COMERCIAL AEC SYSTEMS SPA|E000005966|78939170-K
COMERCIAL AFA NEW SPA|E000005967|76336389-9
COMERCIAL AGRICOLA INCOAGRO LIMI|E000005968|77237370-8
COMERCIAL AGRICOLA RAIMUNDO LIMITADA|E000005969|76402933-K
COMERCIAL AGRICOLA Y GANADERA SAN OSVAL|E000005970|77150836-7
COMERCIAL AGROLIMEMT LIMITADA|E000005971|79773890-5
COMERCIAL AGROLIMENT LTDA|E000005971|79773890-5
INMOB E INV 7A AVENIDA S A|E000005972|96685140-6
COMERCIAL AIREX LIMITADA|E000005972|79775600-8
COMERCIAL ALAMEDA LIMITADA|E000005973|77506790-K
COMERCIAL ALAMEDA S A |E000005974|76282734-4
COMERCIAL ALAMEDA SPA|E000005975|79845390-4
COMERCIAL ALBORADA S A|E000005976|0-0
COMERCIAL ALCAINO LIMITADA|E000005977|78273480-6
COMERCIAL ALCAMAN LTDA|E000005978|78147490-8
COMERCIAL ALCANTARA S  A |E000005979|79546800-5
COMERCIAL ALCANTARA S A|E000005979|79546800-5
COMERCIAL ALDA LTDA|E000005980|78296400-3
COMERCIAL ALESSANDRINI LIMITADA|E000005981|77314540-7
OMERCIAL ALESSSANDRINI LTDA |E000005981|77314540-7
COMERCIAL ALEXANDER LIMITADA|E000005983|76257363-6
COMERCIAL ALGIZ S A|E000005984|96916190-7
COMERCIAL ALMAGRO S A |E000005985|76036812-1
COMERCIAL ALPINA LIMITADA|E000005986|76283516-9
COMERCIAL ALQUIMIST LIMITADA|E000005987|76248440-4
COMERCIAL ALTA MAR LIMITADA|E000005988|76367744-3
COMERCIAL ALTA MAR SPA|E000005989|77542421-4
COMERCIAL ALTASUR CHILE LIMITADA|E000005990|76093924-2
COMERCIAL ALTO COMAICO LIMITADA|E000005991|76432173-1
COMERCIAL ALTO JAHUEL LIMITADA|E000005992|78396950-5
COMERCIAL ALTO PORTALES KARLA HELGA GUZM|E000005993|77010818-7
COMERCIAL ALTOS DEL VALLE LIMITADA|E000005994|77290062-7
COMERCIAL ALVAREZ HERMANOS SPA|E000005995|77718020-7
COMERCIAL ALVAREZ LIMITADA|E000005996|76867020-K
COMERCIAL AMAYA LIMITADA|E000005997|85791600-K
COMERCIAL AMAYA SOCIEDAD ANONIMA|E000005998|0-0
COMERCIAL AMC Y CIA LTDA|E000005999|78128700-8
COMERCIAL AMC Y COMPANIA LIMITAD|E000005999|78128700-8
COMERCIAL AMERICANA LIMITADA|E000006000|84547600-4
COMERCIAL AMERICANA LTDA|E000006000|84547600-4
INMOB E INV UNGHIATTI  ROSALES E HIJOS|E000006001|76044827-3
INMOB E INV UNGHIATTI ROSALES HJ|E000006001|76044827-3
COMERCIAL AMG LIMITADA|E000006001|77771570-4
COMERCIAL AMIRAD ALCANTARA DOS L|E000006002|77622170-8
COMERCIAL ANALAB CHILE S A|E000006003|87963400-8
INMOB E INV YANI LTDA|E000006005|78504920-9
COMERCIAL ANGIE SPA|E000006006|76959133-8
COMERCIAL ANGLIA SPA|E000006007|76366139-3
COMERCIAL ANK SPA|E000006008|77868784-4
COMERCIAL ANSONIA LTDA|E000006009|76013512-7
INMOB E INVER L E G OSORIO Y CIA|E000006010|76542033-4
COMERCIAL APRAIZ Y ZUNIGA LIMITA|E000006010|76400536-8
COMERCIAL APRILIA S A|E000006011|96611100-3
COMERCIAL APRILIA SOCIEDAD ANONI|E000006012|0-0
COMERCIAL ARAGON LIMITADA|E000006013|77902940-9
COMERCIAL ARAPET LIMITADA|E000006014|0-0
COMERCIAL ARC ELECTRIC LIMITADA|E000006015|77834250-2
COMERCIAL ARCHI LIMITADA|E000006016|76289370-3
COMERCIAL ARIEL BUSTAMANTE MALDONADO E I|E000006017|76635702-4
COMERCIAL ARNALOT LIMITADA|E000006018|77409060-6
COMERCIAL AROL CHILE LIMITADA|E000006019|76084650-3
COMERCIAL ARROBA SPA|E000006020|77602459-7
COMERCIAL ARTURITO SOCIEDAD ANON|E000006021|0-0
COMERCIAL ARTURITO SOCIEDAD ANONIMA|E000006022|96928080-9
COMERCIAL ASIETE LIMITADA|E000006023|77007060-0
INMOB E INVERS CLAXE SA Y OT |E000006024|76058618-8
COMERCIAL ASTRAL LIMITADA|E000006024|89570400-8
COMERCIAL ATACAMA LIMITADA|E000006025|96973590-3
COMERCIAL AUSTRAL CHILE LIMITADA|E000006026|76971420-0
COMERCIAL AUTOMOTRIZ HERRERA Y C|E000006027|0-0
COMERCIAL AUTOMOTRIZ MIRANDA LTD|E000006028|76067555-5
COMERCIAL AUTOMOTRIZ SIGLO XXI LIMITADA|E000006030|78770630-4
COMERCIAL AUTOMOTRIZ VERGARA LTDA|E000006031|84350400-0
COMERCIAL AUTOTRACK LIMITADA|E000006033|76150206-9
COMERCIAL AVIGAR SPA|E000006034|77816595-3
COMERCIAL AWAD LIMITADA|E000006035|89055000-2
COMERCIAL AWAD LTDA|E000006035|89055000-2
COMERCIAL AZUL DEL PACIFICO LIMITADA|E000006036|99521310-9
COMERCIAL BAB LIMITADA|E000006037|77843210-2
COMERCIAL BACO LIMITADA|E000006038|77843200-5
COMERCIAL BARC LIMITADA|E000006039|0-0
INMOB E INVERS STA MONICA LTDA|E000006040|78718910-5
COMERCIAL BARRIENTOS LIMITADA|E000006040|76097178-2
COMERCIAL BECERRA RUBIO SPA|E000006041|76606146-K
COMERCIAL BECKER SOC ANONIMA|E000006042|96515610-0
COMERCIAL BENDINAT S A|E000006043|96593300-K
COMERCIAL BEPRO LIMITADA|E000006044|77979730-9
COMERCIAL BHINA LIMITADA|E000006045|76239472-3
COMERCIAL BIC JAN LIMITADA|E000006046|0-0
COMERCIAL BILBAO LIMITADA|E000006047|77545840-2
COMERCIAL BIRKNER AND GUZMAN LIM|E000006048|76378816-4
COMERCIAL BLANCO Y COMPANIA LIMI|E000006049|78844090-1
COMERCIAL BLAYA SPA|E000006050|76976616-2
COMERCIAL BLUE STAR SPA|E000006051|76568637-7
COMERCIAL BLUPOINT LIMITADA|E000006052|76150391-K
COMERCIAL BOMM LIMITADA|E000006053|76687336-7
COMERCIAL BOOKS AND BITS LIMITAD|E000006054|0-0
COMERCIAL BOOKS AND BITS LIMITADA|E000006054|0-0
COMERCIAL BORGONO LTDA|E000006055|0-0
COMERCIAL BOSTON SPA|E000006056|76807957-9
INMOB E INVERSIONES MASAAL SA|E000006057|76081178-5
COMERCIAL BOULEVARD SUITES SPA|E000006057|79749200-0
INMOB E INVERSIONES MEDS S A|E000006058|96860710-3
INMOBILIARIA E INVERSIONES MEDS SA|E000006058|96860710-3
COMERCIAL BRANDTEX SPA|E000006058|76979484-0
INMOB E INVERSIONES MEL S A|E000006059|76001645-4
INMOBILIARUA E INVERSIONES MEL S A |E000006059|76001645-4
COMERCIAL BRAS LIMITADA|E000006059|76972874-0
COMERCIAL BRICKELL LIMITADA|E000006060|76324590-K
INMOB E INVERSIONES PALUMBO Y RI|E000006061|78978770-0
COMERCIAL BRIPER SPA|E000006061|76218817-1
COMERCIAL BULL Y COMPANIA LIMITADA|E000006062|76404120-8
COMERCIAL BULNES LIMITADA|E000006063|86611800-0
COMERCIAL BULNES LTDA|E000006063|86611800-0
INMOB E INVERSIONES SAR SAR LTDA|E000006064|76181205-K
COMERCIAL BUSTOS Y PEREZ LIMITADA|E000006064|77478600-7
COMERCIAL BUZETA LIMITADA|E000006065|79620600-4
COMERCIAL BWY LIMITADA|E000006066|76035635-2
INMOB EDIF LUIS CARRERA S A|E000006067|96777460-K
COMERCIAL BYC MARKETING LIMITADA|E000006067|76727670-2
COMERCIAL C  CH  COMPAS CHILE LI|E000006068|76150572-6
COMERCIAL C AND M LIMITADA|E000006069|76344460-0
COMERCIAL C M LIMITADA|E000006070|0-0
COMERCIAL CABOOSE Y CIA LTDA|E000006071|77322090-5
COMERCIAL CAFE MOKKA S A|E000006072|88665600-9
COMERCIAL CALDO & SANTI LIMITADA|E000006073|76226020-4
COMERCIAL CALDO AND SANTI LIMITA|E000006073|76226020-4
COMERCIAL CALDO SANTI LIMITADA|E000006074|76226020-4
COMERCIAL CAMALEON S P A |E000006075|77496561-0
COMERCIAL CAMPANARIO LIMITADA|E000006076|76131224-3
COMERCIAL CANAVERAL S A|E000006077|0-0
COMERCIAL CANAVERAL SPA|E000006078|76234391-6
COMERCIAL CARDENAS LIMITADA|E000006079|76396783-2
COMERCIAL CARGIOLI LTDA|E000006080|88634400-7
COMERCIAL CARLOS ENRIQUE CEA LEO|E000006081|0-0
COMERCIAL CARMEN LUZ GUZMAN SAN|E000006082|0-0
INMOB ENTRE PARQUES LTDA|E000006083|77225460-1
COMERCIAL CAROLINA CRISTINA DIAZ MORALES|E000006084|0-0
COMERCIAL CAROLINA MONTOYA MONTOYA E I R|E000006085|76583786-3
COMERCIAL CASAS PEREZ AGUADO LIMITADA|E000006087|76314821-1
COMERCIAL CASATEX LIMITADA|E000006088|76933980-9
COMERCIAL CASINO NACIONAL LIMITADA|E000006089|76507600-5
COMERCIAL CASTRO AVALOS E HIJOS|E000006090|76552750-3
COMERCIAL CASTRO AVALOS E HIJOS LIMITADA|E000006090|76552750-3
COMERCIAL CATALAN Y LOPEZ LIMITA|E000006091|76079137-7
COMERCIAL CATHERINE PATRICIA VIDAL FUENT|E000006092|77454066-0
COMERCIAL CAVALSI GROUP LIMITADA|E000006093|76704310-4
COMERCIAL CECCONI LIMITADA|E000006094|76177703-3
COMERCIAL CELIS LIMITADA|E000006096|77183092-7
COMERCIAL CELIS LTDA|E000006096|77183092-7
COMERCIAL CENTER LIMITADA|E000006097|88755700-4
COMERCIAL CENTER LTDA|E000006097|88755700-4
COMERCIAL CERDA LTDA|E000006098|76198304-0
COMERCIAL CERDA SPA|E000006099|76316647-3
COMERCIAL CERRO COLORADO SPA|E000006100|76135110-9
COMERCIAL CERRO EL PLOMO S A |E000006101|76265428-8
INMOB GEOCENTRO SR DOS LTDA|E000006102|76058874-1
COMERCIAL CHEN LIMITADA|E000006102|78292170-3
COMERCIAL CHEN TAN COMPANIA LIMITADA|E000006103|76024448-1
COMERCIAL CHILE SPA|E000006104|0-0
COMERCIAL CHILEACTIVO LIMITADA|E000006105|0-0
INMOB GOLF LTDA|E000006106|77553400-1
COMERCIAL CHILETRADE LIMITADA|E000006106|76069617-K
COMERCIAL CHIOPRIS HERMANOS LIMI|E000006107|78242480-7
COMERCIAL CHONCHI S A|E000006108|96550770-1
COMERCIAL CIATTI CHILE LIMITADA|E000006109|0-0
COMERCIAL CIATTI CHILE SPA|E000006110|76014343-K
COMERCIAL CIMTEC S A |E000006111|78983170-K
COMERCIAL CINTAMATRIX LTDA|E000006112|79904660-1
COMERCIAL CLAMAX SPA|E000006113|76496462-4
COMERCIAL COALFRA LIMITADA|E000006114|76244690-1
COMERCIAL CODIGO 33 LIMITADA|E000006115|77555980-2
COMERCIAL COLOR   ESTAMPADOS LIMITAD|E000006116|76154324-5
COMERCIAL COLOR ESTAMPADOS LIMITADA|E000006116|76154324-5
COMERCIAL COMACEL LTDA|E000006117|78316770-0
COMERCIAL COMERGUZ LTDA|E000006118|0-0
COMERCIAL COMPLICE S A|E000006119|85249600-2
COMERCIAL COMTEC LIMITADA|E000006120|78847150-5
COMERCIAL COPROVE LIMITADA|E000006121|76082175-6
COMERCIAL CORMORAN ROJO LIMITADA|E000006122|76418386-K
COMERCIAL COVER LIMITADA|E000006123|76146260-1
COMERCIAL CRISTIAN ENRIQUE PEREZ|E000006124|76334920-9
COMERCIAL CRUZEIRO SOCIEDAD ANON|E000006125|0-0
COMERCIAL CYAL LIMITADA|E000006126|0-0
COMERCIAL D D LIMITADA|E000006127|0-0
COMERCIAL D NIX S A |E000006128|76022925-3
COMERCIAL DAKAN LIMITADA|E000006129|79582350-6
INMOB INV Y REP PAVEZ SCHULZ LTD|E000006130|77740140-8
INMOB INV Y REP PAVEZ SHULZ LTDA|E000006130|77740140-8
COMERCIAL DANIELI LIMITADA|E000006130|77601230-0
COMERCIAL DANOI LTDA|E000006131|89676200-1
COMERCIAL DBS SPA|E000006132|77088238-9
COMERCIAL DE ENVASES TERMICOS LI|E000006133|78832050-7
COMERCIAL DE TECNOLOGIA E INTEGRACION LI|E000006134|76031548-6
COMERCIAL DE VALORES INMOBILIARI|E000006135|76028061-5
COMERCIAL DE VALORES INMOBILIARIA SPA|E000006135|76028061-5
COMERCIAL DE VALORES INMOBILIARI Y|E000006136|76028061-5
COMERCIAL DE VALORES S A  INMOBI|E000006137|76028061-5
COMERCIAL DE VALORES SERVICIOS FINANCIER|E000006139|77356020-K
COMERCIAL DECANNDIA SPA|E000006140|0-0
COMERCIAL DECO ESPACIOS SPA|E000006141|77015411-1
COMERCIAL DEL CARMEN LIMITADA|E000006142|77526716-K
COMERCIAL DEL CARMEN S A|E000006143|79573820-7
COMERCIAL DELIRIUM TREMENS LIMIT|E000006145|0-0
COMERCIAL DENIA S A|E000006146|96552340-5
COMERCIAL DEVALE LIMITADA|E000006147|78376510-1
COMERCIAL DEVALE LTDA|E000006147|78376510-1
INMOB JESUITAS LOFT|E000006148|76271129-K
COMERCIAL DEVOUX LTDA|E000006148|78982930-6
COMERCIAL DICOMA LTDA|E000006149|78006310-6
COMERCIAL DISCTRONICS LIMITADA|E000006150|77850890-7
COMERCIAL DON IVAN SPA|E000006151|77566517-3
COMERCIAL DON MANUEL Y COMPANIA|E000006152|76416218-8
COMERCIAL DONA GERTRUDIS LIMITAD|E000006153|76168300-4
COMERCIAL DORAL LIMITADA|E000006154|77194160-5
COMERCIAL DORAL S A |E000006155|79536070-0
INMOB LA CORNISA S A|E000006156|76338103-K
COMERCIAL DORMAN LIMITADA|E000006156|76392395-9
COMERCIAL DOS MUNDOS LIMITADA|E000006157|76169490-1
COMERCIAL DUAL SPA|E000006158|76515550-9
COMERCIAL DUO DUO LIMITADA|E000006159|76163879-3
COMERCIAL DUOIMPORT LIMITADA|E000006160|0-0
COMERCIAL DUOMO LTDA|E000006161|0-0
COMERCIAL DVDMEDIOS SPA|E000006162|76018728-3
INMOB LAGO VERDE S A|E000006163|76232106-8
INMOB LAGO VERDE SA|E000006163|76232106-8
INMOBILIARIA LAGO VERDE S A|E000006163|76232106-8
COMERCIAL DYNAMO LIMITADA|E000006163|77800520-4
COMERCIAL E IMP  MX|E000006164|0-0
INMOB LAS HORTENSIAS S A|E000006165|77626879-8
COMERCIAL E IMPORTACIONES H AND|E000006165|0-0
INMOB LAS LOMAS S A|E000006166|77266527-K
INMOB LAS LOMAS SA|E000006166|77266527-K
COMERCIAL E IMPORTACIONES L  H  LIMITA|E000006166|77101723-1
COMERCIAL E IMPORTADORA AUMEX LIMITADA|E000006167|76253038-4
INMOB LENIN ZUNIGA Y CIA LTDA|E000006168|76494772-K
COMERCIAL E IND MEGATEX LTDA|E000006168|0-0
COMERCIAL E INDUST  PLASTICOS LTDA |E000006169|0-0
COMERCIAL E INDUSTRIAL ANGELO GI|E000006170|0-0
COMERCIAL E INDUSTRIAL BRACACE L|E000006171|76021154-0
COMERCIAL E INDUSTRIAL BYB LIMITADA|E000006172|76472352-K
COMERCIAL E INDUSTRIAL CARNES SUDAMERICA|E000006174|76059103-3
COMERCIAL E INDUSTRIAL DEKOLOR L|E000006175|0-0
COMERCIAL E INDUSTRIAL EL MONTE|E000006176|79530440-1
COMERCIAL E INDUSTRIAL EUROPER L|E000006177|76342280-1
COMERCIAL E INDUSTRIAL GORDILLO LIMI|E000006178|79577650-8
COMERCIAL E INDUSTRIAL GORDILLO LIMITADA|E000006178|79577650-8
COMERCIAL E INDUSTRIAL INGO LIMI|E000006179|76002410-4
COMERCIAL E INDUSTRIAL ISESA S|E000006180|95050000-K
COMERCIAL E INDUSTRIAL ISESA S A|E000006180|95050000-K
COMERCIAL E INDUSTRIAL ISESA SA|E000006180|95050000-K
COMERCIAL E INDUSTRIAL JUANAROSA SPA|E000006181|0-0
COMERCIAL E INDUSTRIAL KLERQUIM|E000006182|78127820-3
INMOB LOS JARDINES DE SN FCO DE ASIS SA|E000006183|76329135-9
COMERCIAL E INDUSTRIAL KUNSTMAN LTDA|E000006183|78753530-5
INMOB LOS QULTEHUES LTDA|E000006184|77869590-1
COMERCIAL E INDUSTRIAL LOS ALISOS LTDA|E000006184|77053770-3
COMERCIAL E INDUSTRIAL LOS ANGEL|E000006185|96794730-K
COMERCIAL E INDUSTRIAL LUTZ S A|E000006186|96671150-7
COMERCIAL E INDUSTRIAL MEGAPLAST|E000006187|78191830-K
INMOB MADEIRO SOC ANONIMA|E000006189|96624890-4
COMERCIAL E INDUSTRIAL ORTEGA HARDESSEN|E000006190|79973800-7
COMERCIAL E INDUSTRIAL PE A BLANCA SPA|E000006191|0-0
COMERCIAL E INDUSTRIAL PLASTICOS HO|E000006192|0-0
COMERCIAL E INDUSTRIAL PLASTICOS HOFFENS|E000006193|96548020-K
COMERCIAL E INDUSTRIAL PULLAY S |E000006194|76006186-7
COMERCIAL E INDUSTRIAL PULMAHUE|E000006195|77523180-7
COMERCIAL E INDUSTRIAL SARAVIA L|E000006197|77018760-5
COMERCIAL E INDUSTRIAL TAMMY BAKERY LIMI|E000006198|76544377-6
COMERCIAL E INDUSTRIAL TOPAZ LIM|E000006199|77809360-K
COMERCIAL E INDUSTRIAL TUPAHUE L|E000006200|86312900-1
INMOB MAYA NUMERO 10 S A|E000006201|96665390-6
COMERCIAL E INDUSTRIAL TUPAHUE LTDA|E000006201|86312900-1
INMOB MAYA NUMERO DIECIOCHO|E000006202|76491526-7
COMERCIAL E INMOB NAZAR LTDA|E000006204|78604340-9
COMERCIAL E INMOBILIARIA NAZAR LTDA|E000006204|78604340-9
COMERCIAL E INMOBILIARIA ADONAY|E000006205|0-0
COMERCIAL E INMOBILIARIA BASSARM|E000006206|0-0
COMERCIAL E INMOBILIARIA BASSARMAL S A|E000006207|96915090-5
COMERCIAL E INMOBILIARIA CAFE HAITI DOS|E000006208|89560900-5
COMERCIAL E INMOBILIARIA CAREMAQ SPA|E000006209|76466838-3
COMERCIAL E INMOBILIARIA ENE S A|E000006211|81724800-4
COMERCIAL E INMOBILIARIA ENE S A O INVER|E000006212|81724800-4
COMERCIAL E INMOBILIARIA FERNANDO ALE E |E000006213|0-0
COMERCIAL E INMOBILIARIA GALLARD|E000006214|0-0
COMERCIAL E INMOBILIARIA GALLARDO Y COMP|E000006215|77568050-4
COMERCIAL E INMOBILIARIA LAS PITRAS SPA|E000006216|77332917-6
INMOB ONOFRE JARPA 10482 S A |E000006217|76266159-4
COMERCIAL E INMOBILIARIA LAS TRANCAS LTD|E000006217|76869060-K
COMERCIAL E INMOBILIARIA LOPEZ O|E000006218|0-0
COMERCIAL E INMOBILIARIA LOPEZ Y|E000006219|77408600-5
COMERCIAL E INMOBILIARIA MORRILL|E000006220|0-0
COMERCIAL E INMOBILIARIA NACIONA|E000006221|0-0
COMERCIAL E INMOBILIARIA NACIONAL|E000006222|0-0
COMERCIAL E INMOBILIARIA NACIONAL LIMITA|E000006223|0-0
COMERCIAL E INMOBILIARIA NACIONAL S A|E000006224|0-0
COMERCIAL E INMOBILIARIA OMEGA L|E000006225|0-0
COMERCIAL E INMOBILIARIA PACIFIC|E000006226|77472770-1
INMOB PARQUE LABBE S A|E000006227|96751090-4
INMOBILIARIA PARQUE LABBE S A|E000006227|96751090-4
INMOBILIARIA PARQUE LABBE SA|E000006227|96751090-4
COMERCIAL E INMOBILIARIA PACIFICO SUR OR|E000006227|0-0
COMERCIAL E INMOBILIARIA PUERTO DEL ESTE|E000006228|76714702-3
COMERCIAL E INMOBILIARIA RENACER SPA|E000006229|77625136-4
COMERCIAL E INMOBILIARIA ROSSE S|E000006231|76300080-K
COMERCIAL E INMOBILIARIA S Y P L|E000006232|0-0
COMERCIAL E INMOBILIARIA SAN ALB|E000006233|0-0
INMOB PARQUE TOBALADA |E000006234|76972146-0
INMOBILIARIA PARQUE TOBALABA|E000006234|76972146-0
