cluster_id|rank|b_id|b_name|score
3650|1|76523308-9|AGRICOLA EL ROSAL LIMITADA|0.7373
3650|2|77019405-9|AUTOMATIZACION Y CONTROL INDUSTRIAL SPA|1.0
3650|2|77497410-5|INMOBILIARIA EL ROSAL LIMITADA|0.7265
3650|3|77909206-2|SOCOVAL AUTOMATIZACION Y CONTROL INDUSTRIAL SPA|0.902
3650|3|76590086-7|INVERSIONES EL ROSAL LIMITADA|0.71
3651|1|76813836-2|AUTOMOBILSTROM SPA|1.0
3651|1|65172977-7|COOPERATIVA|0.7124
3651|2|77971338-5|AUTOMOTORA AUTOLIV SPA|0.488
3651|2|76568170-7|COOPERATIVA ELECTRICA DE LLANADA GRANDE|0.6616
3651|3|76653526-7|AUTOMOTRIZ AUTOFACIL SPA|0.4824
3651|3|76061968-K|COMERCIAL FE GRANDE LIMITADA|0.6377
3652|1|77063660-4|COMERCIAL TABANCURA LIMITADA|0.7106
3652|1|65240889-3|COOPERATIVA AGRÍCOLA FLOR DE MALLECO LIMITADA|0.7286
3652|2|76523642-8|INMOBILIARIA TABANCURA LIMITADA|0.6912
3652|2|65152627-2|COOPERATIVA PESQUERA FLOR DEL MAR DE LA PAMPINA LIMITADA|0.6959
3652|3|76536335-7|INVERSIONES TABANCURA LTDA|0.6876
3652|3|65825930-K|COOPERATIVA DE SERVICIO SANITARIO RURAL FLOR MARIA LTDA.|0.6627
3653|1|78635810-8|INVERSIONES AUTO REY LIMITADA|0.7221
3653|1|65172977-7|COOPERATIVA|0.7628
3653|2|76731919-3|AUTOMOTORA REYVAL LIMITADA|0.6938
3653|2|65192778-1|COOPERATIVA AGROPECUARIA TRAFKIN|0.5387
3653|3|77409321-4|AUTOMOTORA R Y R LIMITADA|0.6843
3653|3|77009330-9|COOPERATIVA AGRICOLA BOROA LIMITADA|0.5247
3654|1|83701500-6|CONTINENTAL S A|0.7856
3654|1|65172977-7|COOPERATIVA|0.6727
3654|2|96975270-0|INVERSIONES CONTINENTAL S A|0.6781
3654|2|82822600-2|COOPERATIVA AGRICOLA SANTIAGO LTDA.|0.5953
3654|3|96925560-K|SOUTH CONTINENTAL S A|0.6523
3654|3|77009330-9|COOPERATIVA AGRICOLA BOROA LIMITADA|0.5945
3655|1|78161290-1|AUTOMOTORA E INVERSIONES LA DEHESA LTDA|1.0
3655|1|65172977-7|COOPERATIVA|0.7638
3655|2|96793740-1|INVERSIONES LA DEHESA LIMITADA|0.7626
3655|2|65126706-4|COOPERATIVA DE TRABAJO SMART-CHILE|0.5638
3655|3|76145232-0|INVERSIONES LA DEHESA LIMITADA|0.7626
3655|3|65286680-8|COOPERATIVA PONIENTE|0.5631
3656|1|78411730-8|URBINA Y URBINA LIMITADA|0.7363
3656|1|99525700-9|LAS MARGARITAS S A|0.7301
3656|2|76644646-9|FUENTES Y FUENTES LIMITADA|0.7275
3656|2|77675942-2|LAS MARGARITAS SPA|0.7019
3656|3|77281019-9|FUENTES Y FUENTES LIMITADA|0.7275
3656|3|77216131-K|LAS MARGARITAS SPA|0.7019
3657|1|79649140-K|AUTOMOTORES GILDEMEISTER SPA|0.7806
3657|1|65172977-7|COOPERATIVA|0.7119
3657|2|77047410-8|AUTOMOTORA ARANEDA S.A.|0.6398
3657|2|77504191-9|LOS CONFINES SPA|0.6686
3657|3|96981570-2|AUTOMOTORA FLORENCIA S A|0.6309
3657|3|79796140-K|COMERCIAL LOS CONFINES LTDA|0.6661
3658|1|81198400-0|AUTOMOTORA INALCO S A|1.0
3658|1|79796140-K|COMERCIAL LOS CONFINES LTDA|0.7888
3658|2|76545371-2|AUTOMOTORA INALCAR S.A|0.7477
3658|2|78522480-9|AGRICOLA LOS CONFINES LIMITADA|0.7669
3658|3|77773388-5|INMOBILIARIA INALCO S.A|0.6968
3658|3|77885080-K|INMOBILIARIA LOS CONFINES LIMITADA|0.7426
3659|1|76638230-4|AUTOMOTORA JKM SOCIEDAD ANONIMA|1.0
3659|1|76717046-7|MALAQUIAS SPA|0.6022
3659|2|76328791-2|AUTOMOTORA DUMAY S.A.|0.6498
3659|2|65172977-7|COOPERATIVA|0.575
3659|3|76242074-0|AUTOMOTORA R&S S.A|0.6294
3659|3|65286680-8|COOPERATIVA PONIENTE|0.5562
3660|1|76337583-8|AUTOMOTORA M.O.N. Y COMPANIA LIMITADA|1.0
3660|1|65172977-7|COOPERATIVA|0.7962
3660|2|77392888-6|AUTOMOTORA MOLINA LIMITADA|0.6861
3660|2|65168124-3|COOPERATIVA NACIONAL ODONTOLOGICA|0.5301
3660|3|76742893-6|AUTOMOTORA CHILE LIMITADA|0.6619
3660|3|65027107-6|COOPERATIVA FOLIL  ARAUCANIA|0.5231
3661|1|78706540-6|AUTOMOTORA MIGUEL JACOB HELO S.A.|1.0
3661|1|77512815-1|COMERCIAL ÑUÑOA SPA|0.5048
3661|2|76330090-0|AUTOMOTORA MIGUEL JACOB HELO SPA|0.9267
3661|2|65195248-4|COOPERATIVA AGRICOLA NEWEN DOMO|0.4753
3661|3|79561330-7|AUTOMOTORA MIGUEL CLARO SPA|0.6564
3661|3|65286680-8|COOPERATIVA PONIENTE|0.4689
3662|1|76330090-0|AUTOMOTORA MIGUEL JACOB HELO SPA|0.8466
3662|1|65172977-7|COOPERATIVA|0.5711
3662|2|78706540-6|AUTOMOTORA MIGUEL JACOB HELO S.A.|0.8296
3662|2|65286680-8|COOPERATIVA PONIENTE|0.5581
3662|3|78626170-8|INMOBILIARIA E INVERSIONES MIGUEL JACOB HELO Y COMPANIA LIMITADA|0.6895
3662|3|65208281-5|COOPERATIVA WELIWEN|0.5431
3663|1|76256380-0|AUTOMOTORA NOACK LA REINA LIMITADA|1.0
3663|1|65172977-7|COOPERATIVA|0.7986
3663|2|78617610-7|AUTOMOTORA LA REINA LTDA|0.9002
3663|2|65192778-1|COOPERATIVA AGROPECUARIA TRAFKIN|0.5392
3663|3|76109658-3|INVERSIONES LA REINA LIMITADA|0.6913
3663|3|65164127-6|COOPERATIVA CAMPESINA CHOYIN MAPU|0.5205
3664|1|76210662-0|AUTOMOTORA OLICAR LIMITADA|1.0
3664|1|76640554-1|COMERCIALIZADORA LUMEN LIMITADA|0.6624
3664|2|76095439-K|AUTOMOTORA OLIVERA LIMITADA|0.7203
3664|2|76223071-2|VILLA Y VILLA LIMITADA|0.6375
3664|3|77392888-6|AUTOMOTORA MOLINA LIMITADA|0.7182
3664|3|76031241-K|INVERSIONES VILLA LIMITADA|0.63
3665|1|76276492-K|COMERCIAL PEDRO DE VALDIVIA LIMITADA|0.7904
3665|1|65172977-7|COOPERATIVA|0.7456
3665|2|78216470-8|INMOBILIARIA PEDRO DE VALDIVIA LIMITADA|0.7714
3665|2|77258266-8|VILLA MARÍA SPA|0.7214
3665|3|88662500-6|INMOBILIARIA PEDRO DE VALDIVIA LTDA|0.7714
3665|3|81373300-5|COLEGIO VILLA MARIA ACADEMY|0.6321
3666|1|77202050-3|AUTOMOTORA SAEZ LIMITADA|1.0
3666|1|65172977-7|COOPERATIVA|0.7349
3666|2|78425650-2|AUTOMOTORA GAETE LIMITADA|0.6865
3666|2|70019790-5|COOPERATIVA SERVICIOS NINOS LIMITADOS RANCAGUA LIMITADA|0.6254
3666|3|77690266-7|ASESORÍAS SAEZ LIMITADA|0.6784
3666|3|77527096-9|COMERCIAL RANCAGUA LIMITADA|0.6008
3667|1|84323500-K|AUTOMOTORA VITACURA LTDA|1.0
3667|1|76026625-6|COOLMETAL LIMITADA|0.4146
3667|2|77977248-9|AUTOMOTORA VITACURA SPA|0.7229
3667|2|77009330-9|COOPERATIVA AGRICOLA BOROA LIMITADA|0.3962
3667|3|96129000-7|INMOBILIARIA VITACURA LIMITADA|0.7077
3667|3|82822600-2|COOPERATIVA AGRICOLA SANTIAGO LTDA.|0.3948
3668|1|79649140-K|AUTOMOTORES GILDEMEISTER SPA|1.0
3668|1|76026625-6|COOLMETAL LIMITADA|0.5248
3668|2|77285011-5|AUTOMOTORES SPA|0.8081
3668|2|76419487-K|COOL ELECTRIC COMPAÑIA LIMITADA|0.4335
3668|3|76489105-8|AUTOMOTORES CHILE SPA|0.715
3668|3|77908840-5|COOL SOUTH CHILE LIMITADA|0.4262
3669|1|76776896-6|AUTOMOTRIZ SALAZAR LIMITADA|0.6543
3669|1|76817840-2|COPYPASTE LTDA|0.4693
3669|2|76447730-8|AUTOMOTRIZ CARDENAS LIMITADA|0.6339
3669|2|78024526-3|COPPER MINERALS LIMITADA|0.4337
3669|3|89890800-3|AUTOMOTRIZ GOMA LIMITADA|0.6271
3669|3|77783249-2|CLOUET-CORREA LIMITADA|0.4234
3670|1|76186070-4|AUTOMOTRIZ AVENTURA MOTORS S.A.|1.0
3670|1|78347150-7|COPPEX SPA|0.7114
3670|2|76336073-3|SERVICIOS AUTOMOTRIZ S.A.|0.651
3670|2|79691910-8|COPPELIA S A|0.5886
3670|3|96328000-9|COMERCIALIZADORA AUTOMOTRIZ S A|0.6353
3670|3|76953200-5|COPPERTEC SA|0.5839
3671|1|76212390-8|AUTOMOTRIZ COS LIMITADA|1.0
3671|1|76640706-4|COPROMET SPA|0.7231
3671|2|76000770-6|DONOSO AUTOMOTRIZ LIMITADA|0.6528
3671|2|96966080-6|COPROIN S A|0.5813
3671|3|89890800-3|AUTOMOTRIZ GOMA LIMITADA|0.6405
3671|3|81836000-2|COPEFRUT S A|0.5099
3672|1|77640580-9|AUTOMOTRIZ CALDERON Y COMPANIA LIMITADA|0.6425
3672|1|78438350-4|INMOBILIARIA CORBALAN LIMITADA|0.6392
3672|2|76331983-0|AUTOMOTRIZ VARAS Y COMPAÑIA LIMITADA|0.639
3672|2|76132546-9|KLICHE & CORBALAN LIMITADA|0.6051
3672|3|79528950-K|AUTOMOTRIZ CARMONA Y COMPANIA LIMITADA|0.636
3672|3|76148917-8|CORBALAN MARTIN ABOGADOS LIMITADA|0.5528
3673|1|79544400-9|AUTOMOTRIZ DANIEL ACHONDO S A|1.0
3673|1|78279650-K|INMOBILIARIA CORDANO Y CIA LTDA|0.7755
3673|2|83635200-9|SOC AUTOMOVILES DANIEL ACHONDO S A|0.7336
3673|2|76155900-1|COMERCIAL CORDANO Y CORDANO LIMITADA|0.7231
3673|3|76336073-3|SERVICIOS AUTOMOTRIZ S.A.|0.6225
3673|3|79669380-0|CANATA VACCAREZZA ROBBA Y COMPANIA LIMITADA|0.6687
3674|1|76279046-7|AUTOMOTRIZ E INVERSIONES GUZMAN Y GUZMAN LIMITADA|0.8533
3674|1|77816740-9|CORDONERIA LOBOS LIMITADA|0.6737
3674|2|77477422-K|AUTOMOTRIZ GUZMÁN SPA|0.7194
3674|2|77998460-5|TU CORDONERIA LIMITADA|0.6723
3674|3|76438384-2|AUTOMOTRIZ GUZMAN LIMITADA|0.7018
3674|3|76478278-K|CORDONERIA CINTAS LIMITADA|0.6549
3675|1|79515690-9|AUTOMOTRIZ GREZ HERMANOS Y COMPANIA LIMITADA|0.8312
3675|1|77255985-2|CONSTRUCTORA FISCHER SPA|0.5781
3675|2|78762990-3|AUTOMOTRIZ PEREZ HERMANOS Y CIA LTDA|0.6687
3675|2|80557500-K|LOCHER FISCHER CARLOS SUC|0.5637
3675|3|76108546-8|HERMANOS GREZ LIMITADA|0.6197
3675|3|77223552-6|COMERCIALIZADORA FISCHER SPA|0.559
3676|1|96564810-0|GUILLERMO MORALES LIMITADA|0.8339
3676|1|76942407-5|FISCHER SPA|0.6585
3676|2|77073741-9|AUTOMOTRIZ GUILLERMO MORALES SPA|0.7555
3676|2|77810622-1|FISCHER SPA|0.6585
3676|3|78105250-7|AUTOMOTRIZ SINGER Y MORALES LIMITADA|0.6796
3676|3|76837672-7|INVERSIONES FISCHER SPA|0.6054
3677|1|76146304-7|AUTOMOTRIZ HECTOR  RODRIGO DIAZ FLORES E.I.R.L.|0.9076
3677|1|76477328-4|CORREO MOTOCITY SPA|0.4494
3677|2|76222313-9|CONSTRUCCION HECTOR RODRIGO DIAZ FLORES E.I.R.L|0.7301
3677|2|76312556-4|CORESECURE SPA|0.432
3677|3|77984166-9|AUTOMOTRIZ DIAZ SPA|0.6803
3677|3|77248637-5|CORCOVADO SPA|0.4298
3678|1|96558910-4|AUTOMOTRIZ INTERNACIONAL S.A.|1.0
3678|1|77105834-5|CORONEL BURGER LIMITADA|0.4689
3678|2|76336073-3|SERVICIOS AUTOMOTRIZ S.A.|0.6953
3678|2|77858454-9|COMERCIAL CORTES  LIMITADA|0.4615
3678|3|96328000-9|COMERCIALIZADORA AUTOMOTRIZ S A|0.6526
3678|3|76485681-3|CORRETAJES PROSAL LIMITADA|0.4289
3679|1|76016197-7|AUTOMOTRIZ J & W LIMITADA|1.0
3679|1|77853538-6|DEL CARMEN SPA|0.6462
3679|2|76549060-K|AUTOMOTRIZ P Y P LIMITADA|0.6728
3679|2|77297662-3|DEL CARMEN SPA|0.6462
3679|3|76499790-5|AUTOMOTRIZ JMP LIMITADA|0.6699
3679|3|77671347-3|COMERCIALIZADORA DEL CARMEN SPA|0.6339
3680|1|78756000-8|AUTOMOTRIZ LA CUMBRE LIMITADA|1.0
3680|1|73063000-K|CORPORACION DE INVESTIGACIONES SOCIALES CISO|0.6862
3680|2|78251110-6|INMOBILIARIA LA CUMBRE LIMITADA|0.7133
3680|2|76161980-2|CENTRO DE INVESTIGACIONES SOCIALES DE CHILE LTDA|0.6425
3680|3|76001257-2|INMOBILIARIA LA CUMBRE LIMITADA|0.7133
3680|3|72400300-1|CORP PRIVADA DE DESARROLLO SOCIAL  GRUPO DE INVESTIGACIONES AGRARIAS|0.6091
3681|1|77372730-9|AUTOMOTRIZ LAS CONDES B & B LIMITADA|0.8525
3681|1|75169000-2|CORP EVANGELICA BAUTISTA MANANTIAL DE VIDA|0.6289
3681|2|76458254-3|CENTRAL AUTOMOTRIZ LAS CONDES LIMITADA|0.7316
3681|2|70322700-7|ASOCIACION BAUTISTA DE EVANGELIZACION MUNDIAL|0.5875
3681|3|77825120-5|CONSTRUCTORA LAS CONDES LIMITADA|0.6604
3681|3|59022280-1|CASA BAUTISTA DE PUBLICACIONES|0.5409
3682|1|76325189-6|AUTOMOTRIZ NICOLÁS GIOVANNI VENEGAS ALESSANDRINI E.I.R.L.|0.6899
3682|1|73213000-4|CORP CULTURAL DE LA CAMARA CHILENA DE LA CONSTRUCCION|0.7775
3682|2|77835058-0|COMERCIAL NICOL VENEGAS E.I.R.L.|0.5711
3682|2|70912300-9|CORP EDUCACIONAL DE LA CONSTRUCCION|0.7484
3682|3|77599948-9|SERVICIO AUTOMOTRIZ VENEGAS SPA|0.5698
3682|3|72489000-8|CORP DE SALUD LABORAL DE LA CAMARA CHILENA DE LA CONSTRUCCION|0.7407
3683|1|76296863-0|AUTOMOTRIZ PORTILLO SUR LIMITADA|1.0
3683|1|76729912-5|CONSTRUCTORA CENTRAL CORP SPA|0.6539
3683|2|76540275-1|FRIO SUR AUTOMOTRIZ LIMITADA|0.6851
3683|2|77062007-4|PROPIEDADES DEL SUR SPA|0.5965
3683|3|76189023-9|INVERSIONES PORTILLO LIMITADA|0.6282
3683|3|78043783-9|PROPIEDADES NORTE SUR SPA|0.588
3684|1|76142554-4|AUTOMOTRIZ RODRIGUEZ Y CASTRO LIMITADA|1.0
3684|1|71009200-1|CORP CULTURAL Y EDUCACIONAL CHILENO ARABE DE CONCEPCION|0.7333
3684|2|76341600-3|AUTOMOTRIZ RODRIGUEZ LIMITADA|0.83
3684|2|74380400-7|CORP CULTURAL INSTITUTO CHILENO FRANCES DE CULTURA ANTOFAGASTA|0.674
3684|3|76617197-4|CASTRO Y RODRIGUEZ LIMITADA|0.8156
3684|3|70607500-3|CORP COLEGIO ARABE DE VALPARAISO|0.6438
3685|1|96502140-K|AUTOMOTRIZ ROSSELOT SOCIEDAD ANONIMA|0.7379
3685|1|71550500-2|CIRCULO DE AMIGOS DE CARABINEROS|0.5994
3685|2|76194125-9|SOCIEDAD AUTOMOTRIZ ANDRADE LIMITADA|0.5973
3685|2|65042200-7|CIRCULO MAGICO DE CHILE|0.5388
3685|3|76153806-3|SOCIEDAD AUTOMOTRIZ ALARCON LIMITADA|0.5846
3685|3|82760200-0|CIRCULO DE PILOTOS DE CHILE|0.533
3686|1|76396118-4|AUTOMOTRIZ RANCAGUA LIMITADA|0.6548
3686|1|70883300-2|DAMAS DE LA DEFENSA NACIONAL|0.7179
3686|2|87915800-1|AUTOMOTRIZ ARAUCO LTDA|0.6538
3686|2|70965900-6|CORP DAMAS ONCE DE MARZO CORDAMAR ARICA|0.5803
3686|3|78454530-K|AUTOMOTRIZ ESTACION LIMITADA|0.652
3686|3|73643800-3|CORP DE DEFENSA DE LOS DERECHOS DE LOS ANIMALES|0.5519
3687|1|79954770-8|AUTOMOVILES CHAMY HERMANOS Y CIA   LTDA|0.9444
3687|1|76081044-4|GENERAL VELASQUEZ SPA|0.5803
3687|2|79714490-8|AUTOMOTRIZ CHAMY HERMANOS LIMITADA|0.6655
3687|2|71100100-K|CLUB DEPORTIVO GENERAL VELASQUEZ|0.5552
3687|3|77962460-9|AUTOMOVILES TOLEDO Y COMPANIA LIMITADA|0.6604
3687|3|65199980-4|CORP MUNICIPAL DE DEPORTES DE NUNOA|0.5471
3688|1|76334354-5|AUTOMOVILES JOSE ERGAS Y COMPAÑIA LIMITADA|0.8482
3688|1|81476000-6|CORP DE DESARROLLO TECNOLOGICO DE BIENES DE CAPITAL|0.7149
3688|2|77210740-4|AUTOMOVILES Y CAMIONES SPA|0.6131
3688|2|86529200-7|CORP DE DESARROLLO EDUCACIONAL SOCIEDAD|0.6523
3688|3|88559400-K|JOSE FUENTES Y CIA LTDA|0.5392
3688|3|84470000-8|CORP INTERNACIONAL DE DESARROLLO|0.649
3689|1|77963560-0|AUTOREP MENPAL LIMITADA|0.8146
3689|1|71927000-K|CORP DE ESTUDIO Y GESTION AMBIENTAL PARA EL DESARROLLO CEGADES|0.6903
3689|2|77562041-2|AUTOBEST LIMITADA|0.548
3689|2|72205600-0|CORP DE ESTUDIOS DE ADMINISTRACION Y ECONOMIA CORFAE|0.5598
3689|3|77604759-7|AUTPROT LIMITADA|0.487
3689|3|71058800-7|CORP DE ESTUDIOS Y DESARROLLO EMPRESARIA|0.5585
3690|1|77522023-6|AUTOREPUESTO LIMITADA|0.8328
3690|1|78883390-3|SOC DE INVERSIONES Y ADMINISTRACION DE INMUEBLES LTDA|0.5946
3690|2|79676690-5|AUTO REPUESTOS LOS HEROES LIMITADA|0.7354
3690|2|76682220-7|SOCIEDAD DE INVERSIONES Y ADMINISTRACIÓN DE INMUEBLES SPA|0.5644
3690|3|76591701-8|AMASANDERIA LOS HEROES LIMITADA|0.6641
3690|3|76498481-1|SOCIEDAD DE INVERSIONES DE BIENES MUEBLES E INMUEBLES GONZALEZ MUÑOZ LIMITADA|0.5625
3691|1|96669780-6|AUTORRENTA ASPEN S A|1.0
3691|1|70454800-1|CORP DE DEPORTES DE LOS TRABAJADOR DEL B|0.5212
3691|2|96881900-3|ASPEN S A|0.7603
3691|2|72146400-8|CORP DE BIENESTAR DE LOS TRABAJADORES DE INACAP|0.5057
3691|3|96673990-8|INMOBILIARIA ASPEN SOCIEDAD ANONIMA|0.6897
3691|3|76909051-7|DEPORTES TORRES SPA|0.4909
3692|1|77501510-1|AUTOTEK LIMITADA|1.0
3692|1|71187800-9|CORP CULTURAL ALIANZA FRANCESA DE LA V R|0.601
3692|2|77562041-2|AUTOBEST LIMITADA|0.5578
3692|2|65046351-K|CENTRO CULTURAL ALIANZA FRANCESA|0.5788
3692|3|77604759-7|AUTPROT LIMITADA|0.5397
3692|3|82824200-8|ALIANZA FRANCESA DE TRAIGUEN|0.5745
3693|1|99012000-5|COMPAÑIA DE SEGUROS DE VIDA CONSORCIO NACIONAL DE SEGUROS S.A.|0.6098
3693|1|65091870-3|IGLESIA EJERCITO EVANGELICO DE CRISTO PENTECOSTAL|0.6608
3693|2|76259746-2|CONSORCIO SPA|0.5424
3693|2|72125500-K|CORP TEATRAL DE CHILE|0.6005
3693|3|96519510-6|CONSORCIO DE INVERSIONES SA|0.5407
3693|3|82600300-6|CORP COMUNIDAD TEOLOGICA EVANGELICA DE CHILE|0.5928
3694|1|76125407-3|AVAL PYME SOCIEDAD ANONIMA DE GARANTIA RECIPROCA|0.7426
3694|1|70450200-1|CORP IGLESIA EVANGELICA PRESBITERIANA|0.7552
3694|2|76815696-4|EMPRESA AVAL SPA|0.5453
3694|2|82871700-6|CORP UNION EVANGELICA|0.6432
3694|3|77204493-3|SOLUCIONES PYME SPA|0.5014
3694|3|70917600-5|ESCUELA ESPECIAL EVANGELICA PRESBITERIANA TALCA|0.6353
3695|1|76125407-3|AVAL PYME SOCIEDAD ANONIMA DE GARANTIA RECIPROCA|0.8102
3695|1|60706000-2|CORPORACION DE FOMENTO DE LA PRODUCCION|0.6254
3695|2|76149982-3|AVALES Y GARANTIAS PYMES SOCIEDAD ANONIMA DE GARANTIA RECIPROCA|0.603
3695|2|72404300-3|CORP DE FOMENTO DE BANDAS ESTUDIAN-TILES|0.5631
3695|3|76210569-1|SOLUCION AVAL SOCIEDAD ANONIMA EN LIQUIDACION DE GARANTIA RECIPROCA S.A.|0.5609
3695|3|71705200-5|CORP NACIONAL DE FOMENTO DE TRAS   PLANTES|0.554
3696|1|76209084-8|AVANCE ASESORIAS LIMITADA|1.0
3696|1|77762235-8|TIRADO & ASOCIADOS SPA|0.6974
3696|2|76779770-2|ASESORIAS E INVERSIONES AVANCE LTDA|0.7818
3696|2|76700470-2|TIRADO CORP SA|0.606
3696|3|77927679-1|INVERSIONES AVANCE LIMITADA|0.6998
3696|3|96751960-K|CORP GROUP INVERSIONES CHILE S A|0.5754
3697|1|77060220-3|AVANCE INVERSIONES SPA|1.0
3697|1|73213000-4|CORP CULTURAL DE LA CAMARA CHILENA DE LA CONSTRUCCION|0.6547
3697|2|77055145-5|AVANCE SPA|0.8463
3697|2|70912300-9|CORP EDUCACIONAL DE LA CONSTRUCCION|0.6234
3697|3|76845306-3|AVANCE INGENIERÍA SPA|0.7223
3697|3|72489000-8|CORP DE SALUD LABORAL DE LA CAMARA CHILENA DE LA CONSTRUCCION|0.6101
3698|1|96998190-4|SERVICIOS INTEGRALES S A|0.869
3698|1|70912300-9|CORP EDUCACIONAL DE LA CONSTRUCCION|0.5972
3698|2|96970080-8|SERVICIOS  MEDICOS INTEGRALES S A|0.7144
3698|2|72489000-8|CORP DE SALUD LABORAL DE LA CAMARA CHILENA DE LA CONSTRUCCION|0.5826
3698|3|96967500-5|SERVICIOS INTEGRALES ALIANZA S A|0.6837
3698|3|75184400-K|CORP DE BIENEST PERS DE LA MUTUAL DE SEG CAM CHILENA CONSTRUC|0.5706
3699|1|77324967-9|AVANTE ADMINISTRADORA GENERAL DE FONDOS S.A.|0.9599
3699|1|72489000-8|CORP DE SALUD LABORAL DE LA CAMARA CHILENA DE LA CONSTRUCCION|0.5884
3699|2|76681764-5|AVANTE ADMINISTRADORA S.A.|0.7326
3699|2|75184400-K|CORP DE BIENEST PERS DE LA MUTUAL DE SEG CAM CHILENA CONSTRUC|0.5777
3699|3|77542359-5|AVANTE CONSULTORES SPA|0.5448
3699|3|77270017-2|COMERCIAL CAM SPA|0.5735
3700|1|77054142-5|AVANTE INVERSIONES RAM II SPA|1.0
3700|1|73213000-4|CORP CULTURAL DE LA CAMARA CHILENA DE LA CONSTRUCCION|0.7385
3700|2|76681767-K|AVANTE INVERSIONES SPA|0.8316
3700|2|72489000-8|CORP DE SALUD LABORAL DE LA CAMARA CHILENA DE LA CONSTRUCCION|0.6931
3700|3|76421097-2|AVANTE INVERSIONES RAM 1 SPA|0.7946
3700|3|65079410-9|CORP DE DESARROLLO HABITACIONAL|0.6613
3701|1|78209000-3|AVANTEC S A|1.0
3701|1|72676700-9|IGLESIA PRESBITERIANA EN AMERICA   SANTIAGO|0.735
3701|2|96583130-4|AVANCE SA|0.6003
3701|2|70334900-5|CORP IGLESIA PRESBITERIANA CHILE|0.5605
3701|3|76310270-K|AVAT S.A.|0.5644
3701|3|70450200-1|CORP IGLESIA EVANGELICA PRESBITERIANA|0.5332
3702|1|77429184-9|AVANZA SPA|1.0
3702|1|71591700-9|CORP IGLESIA EVANGELICA LUTERANA|0.7147
3702|2|78041509-6|AVANZA SPA|1.0
3702|2|81082300-3|IGLESIA LUTERANA DE TEMUCO|0.695
3702|3|76160798-7|AVANZA SPA|1.0
3702|3|70414300-1|FUNDACION LUTERANA DE CHILE|0.6789
3703|1|76066802-8|AVANZA CAPACITACIONES LIMITADA|0.6916
3703|1|65312390-6|IGLESIA PENTECOSTAL DE CHILE|0.6578
3703|2|77926600-1|DURAN TELECOMUNICACIONES LIMITADA|0.6863
3703|2|70458200-5|IGLESIA PENTECOSTAL DE CHILE|0.6578
3703|3|76202155-2|LAGOS TELECOMUNICACIONES LIMITADA|0.6709
3703|3|71232000-1|CORP IGLESIA PENTECOSTAL FILADELFIA PRIMERA DE CHILE|0.6519
3704|1|76071147-0|AVARIA SPA.|0.7066
3704|1|71520100-3|IGLESIA METODISTA LIBRE DE CHILE|0.763
3704|2|96613950-1|AVATAR S A|0.5658
3704|2|65668740-1|IGLESIA METODISTA DE CHILE|0.6482
3704|3|76296795-2|AVATAR S.A.|0.5658
3704|3|70334900-5|CORP IGLESIA PRESBITERIANA CHILE|0.6117
3705|1|77555278-6|AVATAR MARKETING LIMITADA|0.6535
3705|1|72125500-K|CORP TEATRAL DE CHILE|0.6129
3705|2|76995324-8|CONSTRUCTORA AVATAR LIMITADA|0.6459
3705|2|72882700-9|CORP CONCILIO DE PASTORES DE IGLESIAS EVANGELICAS DE CORONEL|0.5997
3705|3|76736540-3|CONSTRUCTORA AVATAR LIMITADA|0.6459
3705|3|71232000-1|CORP IGLESIA PENTECOSTAL FILADELFIA PRIMERA DE CHILE|0.562
3706|1|77239983-9|AVATTAR BUILD SMART SPA|1.0
3706|1|76020422-6|CAR LEASING S.A.|0.7357
3706|2|77763726-6|SMART BUILD SPA|0.8001
3706|2|76361445-K|ECR LEASING S.A|0.6939
3706|3|76454923-6|AVATTAR CONSULTORA SPA|0.6676
3706|3|96658270-7|MARC LEASING S A|0.6651
3707|1|76616633-4|AVAYU PROPIEDADES SPA|1.0
3707|1|71232000-1|CORP IGLESIA PENTECOSTAL FILADELFIA PRIMERA DE CHILE|0.6252
3707|2|77108386-2|AS PROPIEDADES SPA|0.6632
3707|2|65312390-6|IGLESIA PENTECOSTAL DE CHILE|0.611
3707|3|77271564-1|AMA PROPIEDADES SPA|0.6508
3707|3|70458200-5|IGLESIA PENTECOSTAL DE CHILE|0.611
3708|1|78042010-3|AVENIDA DISCOTEQUE LIMITADA|0.734
3708|1|82871700-6|CORP UNION EVANGELICA|0.7254
3708|2|76103590-8|PUB DISCOTEQUE VALLE CALVAS LIMITADA|0.5356
3708|2|73965600-1|CORP CRISTIANA EVANGELICA NUEVA VIDA|0.5968
3708|3|76043463-9|BAR, PUB, DISCOTEQUE SERIATUTIX LIMITADA|0.516
3708|3|70276200-6|CORP IGLESIA EVANGELICA BAUTISTA INDEPEN|0.5772
3709|1|76924290-2|AVENDANO Y AVENDANO LTDA|0.8337
3709|1|71173100-8|CORP MUNIC DE QUELLON PARA LA EDUC SALUD|0.6908
3709|2|76910416-K|GUERRA & GUERRA LIMITADA|0.8194
3709|2|65235450-5|CORP CULTURAL DE LA FLORIDA|0.677
3709|3|77833419-4|AVENDAÑO & HERRERA LIMITADA|0.7569
3709|3|70933700-9|CORP MUNICIPAL DE EDUC SALUD CULTURA Y RECREACION DE LA FLORIDA|0.6717
3710|1|76379815-1|INVERSIONES ANDINAS LIMITADA|0.7316
