propietario|rut|prop_tgr_id
IMPORTADORA Y COMERCIALIZADORA ZERO ELEC|0-0|E000013871
IMPORTADORA Y DISTRIBUIDORA ALEMI LIMITA|76704900-5|E000013872
IMPORTADORA Y DISTRIBUIDORA CHILE LUBRIC|0-0|E000013873
IMPORTADORA Y DISTRIBUIDORA G Y G LIMITA|78163180-9|E000013874
IMPORTADORA Y DISTRIBUIDORA G Y S LTDA|78163180-9|E000013874
IMPORTADORA Y DISTRIBUIDORA UDENIO LTDA |77126250-3|E000013875
IMPORTADORA Y DISTRIBUIDORA ULTRA LIMITA|77412320-2|E000013876
IMPORTADORA Y DISTRIBUIDORA UNIGLOBAL SP|76756736-7|E000013877
IMPORTADORA Y EXP JYOTIS LTDA|0-0|E000013878
IMPORTADORA Y EXPORTADORA AL DONNA LIMIT|76035035-4|E000013879
IMPORTADORA Y EXPORTADORA BAYRAM LIMITAD|76151007-K|E000013880
IMPORTADORA Y EXPORTADORA BAYRAM LTDA|76151007-K|E000013880
IMPORTADORA Y EXPORTADORA BERMUDES E HIJ|0-0|E000013881
IMPORTADORA Y EXPORTADORA COMERCIAL SANT|0-0|E000013882
IMPORTADORA Y EXPORTADORA DE PRODUCTOS E|0-0|E000013883
IMPORTADORA Y EXPORTADORA ETRONICS LIMIT|76235440-3|E000013884
IMPORTADORA Y EXPORTADORA FEILON LIMITAD|76008753-K|E000013885
IMPORTADORA Y EXPORTADORA GIRONA S A|96993560-0|E000013886
IMPORTADORA Y EXPORTADORA HAITON LIMITAD|76208941-6|E000013887
IMPORTADORA Y EXPORTADORA HAVELLS CHILE|76232639-6|E000013888
IMPORTADORA Y EXPORTADORA HITOS LIMITADA|77138500-1|E000013889
IMPORTADORA Y EXPORTADORA HUA FAN CHILE|78908580-3|E000013890
IMPORTADORA Y EXPORTADORA IKAWA CHILE SA|76440450-5|E000013891
IMPORTADORA Y EXPORTADORA K M A  LIMITAD|76493746-5|E000013892
IMPORTADORA Y EXPORTADORA MACRIS LIMITAD|76619690-K|E000013893
IMPORTADORA Y EXPORTADORA MACRIS SPA|76748969-2|E000013894
IMPORTADORA Y EXPORTADORA MIRASOL LIMITA|76760992-2|E000013895
IMPORTADORA Y EXPORTADORA MIYAKI LIMITAD|0-0|E000013896
IMPORTADORA Y EXPORTADORA PERQUENCO SPA|76367034-1|E000013897
IMPORTADORA Y EXPORTADORA REALTONE LIMIT|77639240-5|E000013898
IMPORTADORA Y EXPORTADORA RJRB LIMITADA|76854348-8|E000013899
IMPORTADORA Y EXPORTADORA STANFORD SPA|77117250-4|E000013900
IMPORTADORA Y EXPORTADORA VADIN S A|96557310-0|E000013901
IMPORTADORA Y EXPORTADORA VADIN SA|96557310-0|E000013901
IMPORTADORA Y EXPORTADORA Y S LIMITADA|0-0|E000013902
IMPORTADORA ZAFIR LIMITADA|76105630-1|E000013903
IMPORTADORA ZIRCONI LIMITADA|76106432-0|E000013904
IMPOVAR S A|96876330-K|E000013905
IMPREMAX SPA|77634667-5|E000013906
IMPRENTA LICANRAY LIMITADA|79779390-6|E000013907
IMPRENTA MINERVA LIMITADA|85578100-K|E000013908
IMPRENTA MINERVA LTDA|85578100-K|E000013908
IMPRENTA QUICKPRINT LIMITADA|84695300-0|E000013909
IMPRENTA REMYS COMPANIA LIMITADA|0-0|E000013910
IMPRESIONES VELIZ RAMIREZ LIMITADA|0-0|E000013911
IMPRESORES ARTE DOS LIMITADA|77577830-K|E000013912
IMPRESORES MARIA VERONICA REYES|0-0|E000013913
IMPRESOS CARTONAJES S A|0-0|E000013914
IMPRESOS G 4 LIMITADA|77854390-7|E000013915
IMPRESOS J O Y CIA LTDA|77722870-6|E000013916
IMPRESOS ORMENO LIMITADA|78342500-9|E000013917
IMPRESOS PUBLICIDAD Y MARKETING INSTANT|76480691-3|E000013918
IMPRESOS RAPIDPRINT LIMITADA|76076856-1|E000013919
IMPRESOS SOCIAS LIMITADA|79840580-2|E000013920
IMPRESOS Y CARTONAJES S A|83297700-4|E000013921
IMPRESS IMPRESORA LIMITADA|79632670-0|E000013922
IMPROVAR LTDA|0-0|E000013923
IMS CHILE SOLUCIONES TECNOLOGICAS LIMITA|76097154-5|E000013924
IMSACO CONFECCIONES LIMITADA|79537150-8|E000013925
IMT INMUEBLES FONDO DE INVERSION|0-0|E000013926
IMV INGENIERIA LIMITADA|0-0|E000013927
IMVERSIONES COVARRUBIS SA|0-0|E000013928
IMVERSIONES Y ASESORIAS CHIPELLI|0-0|E000013929
IN AGRO STA ELENA LAS ROSAS LTDA|0-0|E000013930
IN DORAL SPA|0-0|E000013931
IN E INV RODRIGO DE TRIANA LTDA|0-0|E000013932
IN LO CASTILLO S A|88160900-2|E000013933
INV LO CASTILLO S A|88160900-2|E000013933
INV LO CASTILLO SA|88160900-2|E000013933
INVERSIONES LO CASTILLO S A|88160900-2|E000013933
INVERSIONES LO CASTILLO SA|88160900-2|E000013933
IN RODRIGUEZ Y F LTDA|0-0|E000013934
IN STORE DISENO LIMITADA|96890040-4|E000013935
INAGRAM S A|0-0|E000013936
INAGRAM SA|0-0|E000013936
INAK SPA|76876964-8|E000013937
INAPAK S A|76276589-6|E000013938
INB E INM EL ALGARROBO LTDA|0-0|E000013939
INBERSIONES BEMBIBRE S A|0-0|E000013940
INBRIGO S A|0-0|E000013941
INBRIGO SA|0-0|E000013941
INCAL LTDA|0-0|E000013942
INCEDE IGENIERIA S A|96954650-7|E000013943
INCEDE INGENIERIA S A|96954650-7|E000013943
INCHALAM S A|0-0|E000013944
INCICA S A|0-0|E000013945
INCOBAN LTDA|0-0|E000013946
INCOCAN LTDA|0-0|E000013947
INCOELEC  HERMANOS  SPA|76994595-4|E000013948
INCOFIN LEASING S A|76477160-5|E000013949
INCOFIN S A|96626570-1|E000013950
INCOFRINGS ASESORIAS E INVERSION|77180640-6|E000013951
INCOMAN CONSTRUCCION SPA|76306851-K|E000013952
INCOPROC SPA|76965584-0|E000013953
INCORPORA S A|76132121-8|E000013954
INCORSA FACTORING S A|96828370-7|E000013955
INCORSA SPA|76548873-7|E000013956
INCOSAL S A|0-0|E000013957
INCOSEN LTDA|0-0|E000013958
INCOTEX HV SERVICIOS SPA|76193068-0|E000013959
IND ALIMENTOS DOS EN UNO LTDA|0-0|E000013960
IND CERESITA S A|0-0|E000013961
IND CERESITA SA|0-0|E000013961
IND COMBINADAS GAIO PEIRANO S A|0-0|E000013962
IND COMBINADAS GAIO PEIRANO SA|0-0|E000013962
IND COMBINADAS GALO PEIRANO S A|0-0|E000013962
INDUS COMBINADAS GAIO PEIRANO SA|0-0|E000013962
INDUSTRIAS COMBINADAS GAIO PEIRANO S A|0-0|E000013962
IND DE MATERIALES DE EMPAQUE LTDA|0-0|E000013963
IND ELABORADORA MAT CONST SA|0-0|E000013964
IND ESTANO Y ACERO INDESA SA|0-0|E000013965
IND JABONERA PROGRESO LTDA|0-0|E000013966
IND MADERERA Y METALURG INDINA SA|0-0|E000013967
IND MANU TELAS PLAS Y LATEX SA|0-0|E000013968
IND MEC Y PLASTICAS ALUPLAST S A|0-0|E000013969
IND MECANICA VOGT SA|0-0|E000013970
IND METALURGICA HOYOS MENDICUTE|0-0|E000013971
IND NAC DE GRASAS SA|0-0|E000013972
IND NAC DE METALES COBRIZADOS|0-0|E000013973
IND NAC DE ROLLOS PARA TELEC ENG|0-0|E000013974
IND NAC PLOMO INDEPP SA|0-0|E000013975
INDUST NAC PLOMO INDEPP SA|0-0|E000013975
IND NACIONAL DE ENVASES S A |0-0|E000013976
IND OPTICA RODENSTOCK SA|0-0|E000013977
IND PERFILES LTDA|0-0|E000013978
IND QUIMICAS Y MINERAS TIMBO S A|0-0|E000013979
IND TEX FRANCO CHILENAS RONIS|0-0|E000013980
IND TEXTIL POLLAK Y CIA|0-0|E000013981
IND TEXTILES JOSE ANANIAS CIA LTDA|0-0|E000013982
IND TEXTILES JOSE ANANIAS Y CIA|0-0|E000013983
TEXTILES JOSE ANANIAS Y CIA|0-0|E000013983
IND Y COM QUINTA NORMAL LTDA|0-0|E000013984
IND Y COMERCIAL TRANSMETAL LIMIT|0-0|E000013985
INDAC SPA|76748796-7|E000013986
INDARTE LTDA|0-0|E000013987
INDENTA ODONTOLOGOS LIMITADA|76337750-4|E000013988
INDEPENDENCIA DESARROLLOS INMOBILIARIOS|76713068-6|E000013989
INDER SPA|76075989-9|E000013990
INDESAR ASOCIADOS DESARROLLO INMOB LTDA|76016340-6|E000013991
INDESAR LTDA|0-0|E000013992
INDEXA SPA|0-0|E000013993
INDIGO DE PAPEL LIMITADA|76543261-8|E000013994
INDIGO GESTION DOS SPA |76454635-0|E000013995
INDIGO RENTAS S A |0-0|E000013996
INDOMITO PICHILEMU SPA|77223489-9|E000013997
INDS AUTOMATIK LTDA|0-0|E000013998
INDUCIEN INSTRUMENTS S A|77634260-2|E000013999
INDULAVAL SPA|78026740-2|E000014000
INDUMEC INGENIERIA Y SERVICIOS L|77248030-K|E000014001
INDUMOTORA AUTOMOTRIZ S A|0-0|E000014002
INDUS Y COMERC COLCHAGUA LTDA|0-0|E000014003
INDUST METALURG NAC DE ACERO LTD|81234600-8|E000014004
INDUST METALURG NACIONAL DE ACER|81234600-8|E000014004
INDUST METALURGICA NAC DE ACERO|81234600-8|E000014004
INDUSTR METALURG NAC DE ACERO|81234600-8|E000014004
INDUSTRIA METALURG NAC DE ACERO|81234600-8|E000014004
INDUSTRIA METALURGICA NACIONAL DE ACERO|81234600-8|E000014004
INDUST QUIMICAS ASOCIADAS S A|0-0|E000014005
INDUST Y COMERCIAL EINSTEIN|0-0|E000014006
INDUSTRIAL Y COMERCIAL EINSTEIN|0-0|E000014006
INDUSTRIA CORCHERA SA|90950000-1|E000014007
INDUSTRIA DE ACRILICOS LIMITADA|88783300-1|E000014008
INDUSTRIA DE ACRILICOS LTDA|88783300-1|E000014008
INDUSTRIAS DE ACRILICOS LIMITADA|88783300-1|E000014008
INDUSTRIA DE ALIMENTOS MBC LIMIT|79854780-1|E000014009
INDUSTRIA DE ALUMINIO ATLAS LTDA|0-0|E000014010
INDUSTRIA DE BALDOSAS MICROVIBRADAS S A|96634540-3|E000014011
INDUSTRIA DE BARQUILLOS CONE BRIC LTDA|0-0|E000014012
INDUSTRIA DE BORDADO LIMITADA|78619800-3|E000014013
INDUSTRIA DE ENCUADERNACION Y PL|0-0|E000014014
INDUSTRIA DE GOMA MAR SA|0-0|E000014015
INDUSTRIA DE PRODUCTOS PLASTICOS PROPLAS|79645050-9|E000014016
INDUSTRIA E INVERSIONES CARTAHUE|96648710-0|E000014017
INDUSTRIA E INVERSIONES CARTAHUE S A|96648710-0|E000014018
INDUSTRIA ELABORADORA DE PRODUCTOS A|0-0|E000014019
INDUSTRIA MADERERA LTDA|78844460-5|E000014020
INDUSTRIA MECANICA VOGT S A|93913000-4|E000014021
INDUSTRIA METALMECANICA UPMETAL|0-0|E000014022
INDUSTRIA METALURGICA NACIONAL D|0-0|E000014023
INDUSTRIA METALURGICA S A|95769000-9|E000014024
INDUSTRIA METALURGICA SA|95769000-9|E000014024
INDUSTRIA METALURGICA TROTTER|0-0|E000014025
INDUSTRIA METALURGICA URSUS TROT|0-0|E000014026
INDUSTRIA NAC DE PLOMO INDEPP LTDA|0-0|E000014027
INDUSTRIA TEXTIL MONARCH SA|90991000-5|E000014028
INDUSTRIA Y COMERCIO BUEN ASENSO|77682320-1|E000014029
INDUSTRIA Y COMERCIO BUEN ASENSO LIMITAD|77682320-1|E000014029
INDUSTRIAL COMERC CONVERT|0-0|E000014030
INDUSTRIAL COMERC CONVERT S A|0-0|E000014031
INDUSTRIAL COMERC CONVERT SA|0-0|E000014032
INDUSTRIAL COMERCIAL CHILE LIMITADA|84553600-7|E000014033
INDUSTRIAL COMERCIAL CHILE SPA|77160818-3|E000014034
INDUSTRIAL COMERCIAL Y AGRICOLA UNION DE|96402000-0|E000014035
INDUSTRIAL FORZA S A|0-0|E000014036
INDUSTRIAL Y COMERCIAL APROMIN L|78094860-4|E000014037
INDUSTRIAL Y COMERCIAL COLBI LTDA|78094860-4|E000014038
INDUSTRIAL Y COMERCIAL DA MONI L|0-0|E000014039
INDUSTRIAL Y COMERCIAL DA MORI L|78094860-4|E000014040
INDUSTRIAL Y COMERCIAL DA MORI LTDA|78094860-4|E000014040
INDUSTRIAL Y COMERCIAL DRUG PLAS|0-0|E000014041
INDUSTRIAL Y COMERCIAL EINSTEIN LIMITADA|78631230-2|E000014042
INDUSTRIAL Y COMERCIAL GRAN GUST|0-0|E000014043
INDUSTRIAL Y COMERCIAL MODATEX S|79844930-3|E000014044
INDUSTRIAL Y COMERCIAL MODATEX SPA|79844930-3|E000014044
INDUSTRIAL Y COMERCIAL ONE WAY LTDA|78848820-3|E000014045
INDUSTRIAL Y COMERCIAL POLKLA LTDA|78413080-0|E000014046
INDUSTRIAL Y COMERCIAL RICORD SOCIEDAD A|0-0|E000014047
INDUSTRIAL Y COMERCIAL SAN DIEGO LIMITAD|77662300-8|E000014048
INDUSTRIAL Y COMERCIAL SENAL LIM|78094860-4|E000014049
INDUSTRIAL Y COMERCIAL SPLUM LIM|78094860-4|E000014050
INDUSTRIAS ACRILICO LIMITADA|0-0|E000014051
INDUSTRIAS BOETSCH LIMITADA|77288740-K|E000014052
INDUSTRIAS CAMPO LINDO S A|87579600-3|E000014053
INDUSTRIAS CERESITA S A|91666000-6|E000014054
INDUSTRIAS CHILENAS DE ALAMBRE INCHALAM|91868000-4|E000014055
INDUSTRIAS DE TECNOLOGIA HIDRAUL|0-0|E000014056
INDUSTRIAS ELECTRICAS CHM SOCIEDAD ANONI|0-0|E000014057
INDUSTRIAS ELECTRICAS HESS MAY S A|92033000-2|E000014058
INDUSTRIAS ELECTRONICAS CONDENSA SA|0-0|E000014059
INDUSTRIAS FLANO LTDA|0-0|E000014060
INDUSTRIAS SUMAR S A|96750150-6|E000014061
INDUSTRIAS TECNOCERAMICA S A|96645440-7|E000014062
INDUSTRIAS TEXTILES FRANCO CHILENAS R|0-0|E000014063
INDUSTRIAS TEXTILES J ANANIAS Y CIA|0-0|E000014064
INDUSTRIAS TEXTILES JOSE ANANIAS SOCIEDA|0-0|E000014065
INDUSTRIAS TEXTILES JOSE ANANIAS SPA|81415800-4|E000014066
INDUSTRIAS VALENTINA LIMITADA|76702170-4|E000014067
INDUSTRIAS VANNI S A|96797770-5|E000014068
INDUSTRIAS VINICAS S A|87550600-5|E000014069
INELCOM CHILE S A|96787470-1|E000014070
INELCOM CHILE SA|96787470-1|E000014070
INERS BURR FABRES LTDA|0-0|E000014071
INVERS BURR FABRES LTDA|0-0|E000014071
INVERSIONES BURR FABRES LIMITADA|0-0|E000014071
INERSA ADMINISTRADORA Y DESARROLLO|0-0|E000014072
INERSA I S A|0-0|E000014073
INERSA S A|0-0|E000014074
INERSIONES BANSANDER S A|0-0|E000014075
INERSIONES UKANTAR S A|0-0|E000014076
INES ALLES ARAP Y COMPANIA LIMIT|78745510-7|E000014077
INES JOHNSON Y COMPANIA LIMITADA|76189218-5|E000014078
INES MATTE URREJOLA RENTA SPA|77113007-0|E000014079
INEVRSIONES LOS CEREZOS LTDA |0-0|E000014080
INEXT CONSULTORES SOCIEDAD ANONI|0-0|E000014081
INFANTE ESPINOZA LTDA|0-0|E000014082
INFANTE FIP ADM  POR A P I S A|0-0|E000014083
INFANTE MERCADO JUAN PATRICIO F|0-0|E000014084
INFANTE Y MARINOVIC PRESTACIONES MEDICAS|77302950-4|E000014085
INFO UPDATE LIMITADA|76023530-K|E000014086
INFORMACION DESARROLLO|0-0|E000014087
INFORMACION PARA EL DESARROLLO P|0-0|E000014088
INFORMACION PUNTUAL DE CHILE S A|76700770-1|E000014089
INFORMATICA E INVERSIONES HECO LTDA|79752720-3|E000014090
INFORMATICA INVERSIONES Y TELECO|0-0|E000014091
INFORMATION TECHNOLOGY LTDA|77492300-4|E000014092
INFRACON S A|0-0|E000014093
INFRAESTRUCTURA EDUCACIONAL SC S A|76089344-7|E000014094
ING  CONSTRUCCION E INV  GHH Y CIA LTDA|0-0|E000014095
ING  Y CONST  MAULE LTDA |0-0|E000014096
ING Y CONST MAULEN LTDA|0-0|E000014096
ING  Y CONSTRUCCION EL ALMENDRAL S A |0-0|E000014097
ING CONST IND CIV I C LTDA|0-0|E000014098
ING CONST INGEVEC LTDA|0-0|E000014099
ING CONST Y PAISAJISMO RC LIMITA|0-0|E000014100
ING COST Y ARQUITECTURA|0-0|E000014101
ING DISENO Y CONSTR PRADO VERGAR|0-0|E000014102
ING E INMOB CANI LTDA|77634630-6|E000014103
INGENIERIA E INMOBILIARIA CANI LIMITADA|77634630-6|E000014103
ING E INMOB MANSO DE VELASCO S A|0-0|E000014104
ING ELECT MONT INDS Y SERV  GRAL LTDA |0-0|E000014105
ING ELECTRICA CONSTRUCCIONES Y M|0-0|E000014106
ING ELECTRICA FRONTEL LTDA|0-0|E000014107
ING ELECTRICA Y MONTAJE IND PROMIN LTDA|0-0|E000014108
ING EN SERVICIOS INDUSTRIALES SA|96546230-9|E000014109
ING GAS SOLUTIONS LIMITADA|76411200-8|E000014110
ING H WALLEM Y COMPANIA LTDA|0-0|E000014111
ING INT ELEC MIGUEL A P S E HIJOS|0-0|E000014112
ING OPERAC ASES E INV NEWENCHE LTDA|0-0|E000014113
ING SEGUROS DE VIDA S A|0-0|E000014114
ING SEGUROS DE VIDA S A I|0-0|E000014115
ING SEGUROS DE VIDA SA|0-0|E000014116
ING Y CONST CRUZ DEL SUR LTDA|0-0|E000014117
ING Y CONST DESCO LTDA|0-0|E000014118
ING Y CONST I C LTDA|0-0|E000014119
ING Y CONST IC LTDA|0-0|E000014120
ING Y CONST ICAFAL LTDA|0-0|E000014121
ING Y CONST IZA LTDA|0-0|E000014122
ING Y CONST NAHMIAS HNOS LTD|0-0|E000014123
ING Y CONST NAHMIAS HNOS LTDA|0-0|E000014123
ING Y CONSTRUC NAHMIAS HNOS LTDA|0-0|E000014123
ING Y CONST PAROT Y VATTIOR LTDA|0-0|E000014124
ING Y CONSTR I C LTDA|0-0|E000014125
ING Y CONSTR R RODRIGUEZ Y CIA LTD|76427004-5|E000014126
ING Y CONSTRUCCION INCA LTDA|0-0|E000014127
ING Y CONSTRUCCIONES INCA SA|0-0|E000014128
ING Y CONSTRUCIONES C Q M LTDA|0-0|E000014129
ING Y MOV DE TIERRA SABREC S A|0-0|E000014130
ING Y OBRAS CIVILES INGEOMOV LTDA|0-0|E000014131
ING Y SERVICIOS FUTURA LIMITADA|77034630-4|E000014132
INGENIERIA Y SERVICIOS FUTURA LI|77034630-4|E000014132
INGENIERIA Y SERVICIOS FUTURA LIMITADA|77034630-4|E000014132
ING Y SERVICIOS INTEGRALES EN CO|0-0|E000014133
ING Y SOLUCIONES TECNICAS LTDA|0-0|E000014134
INGECAL INGENIEROS CALCULISTAS LIMITADA|78078840-2|E000014135
INGECIL LTDA|0-0|E000014136
INGECONTROL SPA|76454927-9|E000014137
INGEFRUTA SPA|76118078-9|E000014138
INGELDUP SERV ING ELECTRICAS Y COMUNICAC|0-0|E000014139
INGELIFT INGENIERIA EN TRANSPORT|0-0|E000014140
INGELIFT INGENIERIA EN TRANSPORTE VERTIC|0-0|E000014141
INGENIERIA EN TRANSPORTE VERTICA|0-0|E000014141
INGELTEC LTDA|79985690-5|E000014142
INGEMAN BES SPA|77095139-9|E000014143
INGEMAN-BES SPA|77095139-9|E000014143
INGEMAS OPERACIONES LIMITADA|76425797-9|E000014144
INGEMED II SPA|77363788-1|E000014145
INGEMED SPA|76680387-3|E000014146
INGEN ELECTRICA RHELSA Y CIA LTDA|0-0|E000014147
INGEN Y TELECOM PARA EMPRESAS DE|0-0|E000014148
INGEN Y TELECOM PARA EMPRESAS DE ENERGIA|0-0|E000014148
INGENAR S A|0-0|E000014149
INGENIER A Y CONSTRUCCI N VECT|0-0|E000014150
INGENIERIA  CONSTRUCCION Y COMERCIALIZAD|0-0|E000014151
INGENIERIA  PROYECTOS Y MONTAJES|76506856-8|E000014152
INGENIERIA  SERVICIOS Y ASESORIA|77798320-2|E000014153
INGENIERIA ACCION SUSTENTABLE SPA|77131014-1|E000014154
INGENIERIA AEROMECANICA LIMITADA|79975290-5|E000014155
INGENIERIA AGROSONDA LTDA|0-0|E000014156
INGENIERIA ALBORADA LIMITADA|0-0|E000014157
INGENIERIA AND COMERCIALIZADORA|77838815-4|E000014158
INGENIERIA ARQUITECTURA SEGURIDA|0-0|E000014159
INGENIERIA ARTE ARQUITECTURA DISENO Y CO|0-0|E000014160
INGENIERIA ASESORIAS Y CONSTRUCC|0-0|E000014161
INGENIERIA AUTOMATISMOS Y CALIBRACION L|76042958-9|E000014162
INGENIERIA CALCULO Y CONSTRUCCION JLS IN|76736320-6|E000014163
INGENIERIA CALDERON Y FUENTES LI|0-0|E000014164
INGENIERIA CIVIL INDUSTRIAL DE S|0-0|E000014165
INGENIERIA CIVIL M H SPA|77130742-6|E000014166
INGENIERIA CIVIL VICENTE S A|93546000-K|E000014167
INGENIERIA CIVIL VICENTE SA|93546000-K|E000014167
INGENIERIA CONSTRUCCION Y GESTION SPA|76516187-8|E000014168
INGENIERIA CONSTRUCCION Y MOVIMI|0-0|E000014169
INGENIERIA CONSTRUCCION Y MOVIMIENTO|0-0|E000014169
INGENIERIA CONSTRUCCION Y SERVIC|0-0|E000014170
INGENIERIA CONSTRUCCION Y TRANSPORTES EC|0-0|E000014171
INGENIERIA CONSTRUCCIONES Y SERV|0-0|E000014172
INGENIERIA CONSTRUCCIONES Y SERVICIOS O|0-0|E000014173
INGENIERIA CONSULTORIA Y SERVICI|0-0|E000014174
INGENIERIA CONTRA INCENDIOS LIMITADA|77375328-8|E000014175
INGENIERIA CONTRUCCION Y PAISAJISMO RC L|0-0|E000014176
INGENIERIA D|0-0|E000014177
INGENIERIA D D LIMITADA|0-0|E000014178
INGENIERIA DE ACEROS LTDA|79772360-6|E000014179
INGENIERIA DE COMBUSTION BOSCA CHILE S A|79610100-8|E000014180
INGENIERIA DE PROYECTOS DE MECAN|0-0|E000014181
INGENIERIA DE PROYECTOS DE MECANIZACION|0-0|E000014181
INGENIERIA DE PROYECTOS Y ASESORIAS LIMI|79711380-8|E000014182
INGENIERIA DE PROYECTOS Y EQUIPOS PARA L|76132446-2|E000014183
INGENIERIA DE RIEGO Y DRENAJE LIMITADA|0-0|E000014184
INGENIERIA DE SIST DE SEGURIDAD|0-0|E000014185
INGENIERIA DE SISTEMAS EN ALTA T|0-0|E000014186
INGENIERIA DE SISTEMAS EN ALTA TECNOLOGI|0-0|E000014186
INGENIERIA DE SISTEMAS PIPING Y|76519240-4|E000014187
INGENIERIA DE SISTEMAS PIPING Y LINEAS L|76519240-4|E000014188
INGENIERIA DS SPA|76450442-9|E000014189
INGENIERIA E INFORM ASOC|0-0|E000014190
INGENIERIA E INFORMATICA ASOCIAD|0-0|E000014190
INGENIERIA E INFORMATICA ASOCIADA LI|79882360-4|E000014191
INGENIERIA E INFORMATICA ASOCIADA LIMITA|79882360-4|E000014191
INGENIERIA E INNOVACI??N ESTRUCTURAL INN|0-0|E000014192
INGENIERIA E INNOVACION S A|96648700-3|E000014193
INGENIERIA E INNOVACION SOCIEDAD|77718832-1|E000014194
INGENIERIA E INVERSION LTDA|84890000-1|E000014195
INGENIERIA E INVERSIONES ACB LIMITADA|76427140-8|E000014196
INGENIERIA E INVERSIONES COLIN S|0-0|E000014197
INGENIERIA E INVERSIONES EL SAUC|0-0|E000014198
INGENIERIA E INVERSIONES ENDUELEC CHILE|76015813-5|E000014199
INGENIERIA E INVERSIONES EVEREST|76162902-6|E000014200
INGENIERIA E INVERSIONES FERNAND|0-0|E000014201
INGENIERIA E INVERSIONES FERNANDEZ LIMIT|78906790-2|E000014202
INGENIERIA E INVERSIONES FLORES DE LA RO|0-0|E000014203
INGENIERIA E INVERSIONES GZ S A|0-0|E000014204
INGENIERIA E INVERSIONES INGEMUG|0-0|E000014205
INGENIERIA E INVERSIONES INGEMUG LIMITAD|76031656-3|E000014206
INGENIERIA E INVERSIONES LAMAR L|78421340-4|E000014207
INGENIERIA E INVERSIONES LEMUY L|77109740-5|E000014208
INGENIERIA E INVERSIONES MERUEL|0-0|E000014209
INGENIERIA E INVERSIONES MOYA Y|76309364-6|E000014210
INGENIERIA E INVERSIONES PENTASOLES LIMI|76535420-K|E000014211
INGENIERIA E INVERSIONES POUTT VENTURE S|77190945-0|E000014212
INGENIERIA E INVERSIONES RIGEL L|76332510-5|E000014213
INGENIERIA E INVERSIONES SANTA C|0-0|E000014214
INGENIERIA E INVERSIONES SANTA F|0-0|E000014215
INGENIERIA E INVERSIONES SANTA FABIANA L|76626090-K|E000014216
INGENIERIA E INVERSIONES TERRAZU|0-0|E000014217
INGENIERIA E INVERSIONES VIXEN L|84890000-1|E000014218
INGENIERIA E INVERSIONES VIXEN LIMITADA|84890000-1|E000014218
INGENIERIA E L C  LIMITADA|76000208-9|E000014219
INGENIERIA EL ALBA SPA|76826942-4|E000014220
INGENIERIA ELECTRICA DOMME LIMIT|76163938-2|E000014221
INGENIERIA ELECTRICA HASVEL LIMI|78027300-3|E000014222
INGENIERIA ELECTRICA INSTALACION|0-0|E000014223
INGENIERIA ELECTRICA JUAN CARLOS GUERRA|76010949-5|E000014224
INGENIERIA ELECTRICA PROYECTOS Y|0-0|E000014225
INGENIERIA Y PROYECTOS ELECTRICO|0-0|E000014225
INGENIERIA ELECTRICA PROYECTOS Y ASESORI|0-0|E000014226
INGENIERIA ELECTRICA Y COMERCIAL|76478940-7|E000014227
INGENIERIA ELECTRONICA Y TELECOM|0-0|E000014228
INGENIERIA EN COMUNICACIONES S A|99535230-3|E000014229
INGENIERIA EN ELECTRONICA COMPUT|0-0|E000014230
INGENIERIA EN ELECTRONICA COMPUTA CION|0-0|E000014230
INGENIERIA EN INSTALACIONES SANITARIAS|76290425-K|E000014231
INGENIERIA EN MAQUINARIA Y AUTOM|0-0|E000014232
INGENIERIA EN PLAST Y METALES S A|79661680-6|E000014233
INGENIERIA EN PLASTICOS Y METALES S A|79661680-6|E000014233
INGENIERIA EN SISTEMA DE ALMACENAJE LIMI|76324349-4|E000014234
INGENIERIA EN SISTEMAS DE PESAJE|0-0|E000014235
INGENIERIA ENERTAK LIMITADA|76544760-7|E000014236
INGENIERIA FACOHER SPA|76928100-2|E000014237
INGENIERIA GALO SCALE LIMITADA|77290210-7|E000014238
INGENIERIA GESTION Y SOFTWARE LI|0-0|E000014239
INGENIERIA H WALLEN Y CIA LTDA|0-0|E000014240
INGENIERIA I INFOR ASOC|0-0|E000014241
INGENIERIA INDUSTRIAL COOPMAN Y|78876580-0|E000014242
INGENIERIA INDUSTRIAL COOPMAN Y COOPMAN|78876580-0|E000014242
INGENIERIA INDUSTRIAL Y PSICOLOG|0-0|E000014243
INGENIERIA INFORMATICA KIBERNUM|0-0|E000014244
INGENIERIA INFORMATICA KIBERNUN|0-0|E000014244
INGENIERIA INSPECCION Y MONTAJE|0-0|E000014245
INGENIERIA JAIME SALAMANCA CANDI|0-0|E000014246
INGENIERIA JORGE VENEGAS QUIJADA|76051028-9|E000014247
INGENIERIA LA CUMBRE S A|96873130-0|E000014248
INGENIERIA LUIS FELIPE ACUNA ECH|0-0|E000014249
INGENIERIA LYON LIMITADA|78337800-0|E000014250
INGENIERIA MANTENCION Y DESARROL|0-0|E000014251
INGENIERIA MANTENCION Y DESARROLLO COMPU|0-0|E000014252
INGENIERIA MANTENCION Y PROYECTOS INDUST|0-0|E000014253
INGENIERIA MAQUINARIA TECNOLOGIA|0-0|E000014254
INGENIERIA MASING LTDA |0-0|E000014255
INGENIERIA MAXIMO PRADO DIAZ E I|0-0|E000014256
